variety,defect_type,length_mm,width_mm,aspect_ratio,area_mm2,circularity,solidity,eccentricity,rg_ratio,rb_ratio,gb_ratio,norm_s,quality_grade
swarna,whole,4.226,2.136,1.979,7.088,0.7814,0.8585,0.4972,1.0936,1.3846,1.0836,0.1455,Common
swarna,whole,4.591,2.356,1.948,8.496,0.5763,0.854,0.4894,1.1113,1.3038,1.195,0.1504,Grade A
swarna,whole,4.603,2.057,2.237,7.436,0.8866,0.9437,0.555,1.0085,1.3325,1.1215,0.1636,Grade B
swarna,foreign,4.837,2.283,2.119,8.672,0.7822,1.0,0.5303,1.0653,1.2197,1.1266,0.1155,Common
swarna,whole,4.597,2.365,1.943,8.54,0.7013,0.9927,0.4881,1.0641,1.4976,1.2175,0.1143,Grade A
swarna,damaged,4.125,2.296,1.796,7.44,0.6777,0.9557,0.4464,1.1084,1.2742,1.1292,0.0946,Common
swarna,damaged,4.575,1.951,2.345,7.01,0.7173,0.9393,0.5754,1.027,1.2923,1.1835,0.1057,Rejected
swarna,chalky,4.879,2.411,2.024,9.238,0.5622,0.8731,0.5083,1.1109,1.3211,1.2109,0.2556,Rejected
swarna,whole,4.834,2.33,2.074,8.847,0.6685,0.9579,0.5202,1.0336,1.2611,1.1509,0.1425,Grade A
swarna,whole,4.74,1.877,2.525,6.99,0.6528,0.9744,0.6055,1.0839,1.1938,1.1371,0.1604,Grade A
swarna,whole,4.516,2.07,2.182,7.341,0.9144,0.9517,0.5438,0.9585,1.2949,1.1403,0.1656,Grade A
swarna,broken,4.677,2.373,1.971,8.717,0.58,0.9033,0.4951,1.0515,1.2277,1.2859,0.1521,Grade B
swarna,whole,5.243,2.406,2.179,9.909,0.5481,0.8958,0.5431,1.156,1.2234,1.2066,0.1632,Grade A
swarna,whole,3.366,1.995,1.687,5.274,0.6747,0.8576,0.4107,1.1779,1.1656,1.1536,0.1439,Grade B
swarna,discolored,4.907,2.202,2.228,8.487,0.6018,0.9431,0.5533,1.0919,1.232,1.1842,0.1284,Rejected
swarna,whole,5.055,1.952,2.589,7.752,0.9133,0.8224,0.6153,1.0709,1.3271,1.1969,0.1213,Grade A
swarna,whole,4.294,2.37,1.812,7.992,0.7357,0.8854,0.4511,1.134,1.3046,1.2288,0.1589,Grade A
swarna,damaged,4.762,2.322,2.051,8.684,0.6979,0.9259,0.5147,1.1567,1.2327,1.2128,0.1339,Rejected
swarna,discolored,4.789,2.363,2.027,8.887,0.8305,0.9211,0.5091,1.1209,1.2552,1.1994,0.1361,Rejected
swarna,whole,4.214,2.618,1.609,8.666,0.5994,0.8593,0.3824,1.1495,1.3433,1.2174,0.1589,Grade A
swarna,whole,4.527,2.065,2.192,7.34,0.7975,0.9126,0.546,1.0305,1.2543,1.2048,0.1231,Grade A
swarna,chalky,4.586,2.099,2.185,7.558,0.6529,0.9316,0.5444,0.9931,1.1674,1.1369,0.1336,Rejected
swarna,broken,4.8,2.168,2.214,8.174,0.6981,0.8699,0.5504,1.0789,1.2569,1.1994,0.1152,Common
swarna,foreign,4.462,2.28,1.957,7.991,0.769,0.8999,0.4915,1.0934,1.281,1.1859,0.1168,Rejected
swarna,whole,5.008,2.392,2.094,9.408,0.9153,0.8816,0.5247,1.1323,1.2947,1.3114,0.1158,Grade A
swarna,broken,3.757,2.095,1.793,6.181,0.6241,0.9275,0.4455,1.1005,1.4301,1.237,0.1227,Grade B
swarna,whole,4.038,2.566,1.573,8.139,0.8179,0.8965,0.3685,0.9772,1.3883,1.1731,0.1771,Grade A
swarna,whole,4.502,2.209,2.038,7.812,0.655,0.9511,0.5116,1.0159,1.2686,1.1872,0.1554,Grade B
swarna,whole,3.963,2.456,1.614,7.643,0.7332,0.8826,0.3842,1.1731,1.2893,1.2508,0.142,Grade B
swarna,whole,4.413,2.394,1.843,8.298,0.7645,0.9884,0.4604,1.0221,1.3349,1.2435,0.0872,Grade A
swarna,whole,4.406,2.344,1.88,8.109,0.8502,0.9237,0.4709,1.1777,1.1696,1.0778,0.1383,Common
swarna,damaged,3.776,2.182,1.731,6.472,0.5696,0.9535,0.4255,1.102,1.2048,1.1492,0.1082,Rejected
swarna,whole,4.155,2.301,1.806,7.508,0.647,0.8804,0.4493,1.0736,1.1972,1.1468,0.1041,Grade B
swarna,whole,4.255,2.243,1.897,7.495,0.6888,0.909,0.4757,1.1169,1.3406,1.1482,0.1227,Grade A
swarna,whole,3.97,2.473,1.605,7.711,0.8645,0.9075,0.3808,1.1146,1.3049,1.3647,0.1736,Grade A
swarna,chalky,3.938,2.241,1.757,6.93,0.6244,0.8489,0.4342,1.0412,1.1935,1.2812,0.1664,Rejected
swarna,whole,4.527,2.028,2.233,7.21,0.8523,0.9469,0.5541,1.0178,1.2648,1.1275,0.0985,Grade B
swarna,whole,4.011,2.313,1.734,7.284,0.6349,0.8956,0.4267,1.0445,1.2109,1.1829,0.1151,Common
swarna,whole,4.416,2.018,2.188,7.001,0.6423,0.9578,0.545,1.1101,1.2018,1.186,0.1625,Grade A
swarna,whole,4.268,2.314,1.844,7.757,0.6237,0.8298,0.4607,0.9823,1.2838,1.1956,0.1129,Grade B
swarna,whole,4.477,1.958,2.287,6.884,0.6348,0.9224,0.5646,1.0284,1.2492,1.2404,0.1227,Grade B
swarna,discolored,4.685,2.488,1.883,9.157,0.4528,0.8802,0.4717,1.1146,1.2638,1.2023,0.1219,Common
swarna,whole,4.53,2.169,2.089,7.717,0.8168,0.9327,0.5235,1.1003,1.247,1.1507,0.127,Grade B
swarna,whole,4.601,2.615,1.76,9.451,0.7871,0.9037,0.4349,1.1521,1.2474,1.0577,0.1098,Grade A
swarna,whole,4.506,2.535,1.777,8.973,0.7327,0.909,0.4406,1.1298,1.1031,1.1941,0.1631,Common
swarna,whole,3.982,2.429,1.64,7.597,0.7338,0.8992,0.3938,1.118,1.4617,1.1909,0.1474,Grade A
swarna,whole,4.791,2.029,2.361,7.633,0.7072,0.8961,0.5783,1.1087,1.3067,1.2423,0.1247,Grade B
swarna,broken,4.406,2.004,2.198,6.935,0.6556,0.9389,0.5471,1.1254,1.2062,1.2322,0.1807,Common
swarna,whole,4.229,1.951,2.168,6.481,0.5221,0.9948,0.5408,1.1193,1.2756,1.1968,0.1062,Grade B
swarna,whole,4.538,2.345,1.935,8.359,0.7481,0.9312,0.4859,1.0326,1.3177,1.2929,0.1804,Grade B
swarna,chalky,4.154,2.175,1.91,7.095,0.7056,0.9747,0.4791,0.9785,1.4024,1.1705,0.1272,Common
swarna,whole,4.146,1.869,2.218,6.086,0.7823,0.9237,0.5512,1.0026,1.1764,1.1599,0.1901,Grade A
swarna,whole,4.414,2.145,2.057,7.438,0.4303,0.9173,0.5163,1.0661,1.3357,1.2909,0.1738,Grade B
swarna,whole,4.406,1.979,2.227,6.847,0.9573,0.923,0.5529,1.0808,1.2781,1.1919,0.1357,Grade A
swarna,whole,4.489,2.091,2.146,7.372,0.6287,0.9253,0.5362,1.0647,1.4003,1.0209,0.1727,Grade B
swarna,whole,4.38,2.126,2.061,7.313,0.5592,0.8811,0.517,1.0134,1.4202,1.2361,0.1781,Grade A
swarna,broken,4.753,1.974,2.407,7.369,0.6475,0.9445,0.5863,1.0067,1.337,1.1656,0.1288,Rejected
swarna,whole,4.374,2.432,1.798,8.354,0.5919,0.9508,0.447,1.1156,1.2552,1.1996,0.1025,Common
swarna,whole,4.317,2.41,1.791,8.171,0.6296,0.8496,0.4449,0.9866,1.3285,1.1032,0.1926,Grade A
swarna,whole,4.574,2.181,2.097,7.834,0.6455,0.94,0.5255,1.0777,1.3683,1.1869,0.1445,Grade A
swarna,whole,4.608,1.858,2.48,6.724,0.5652,0.9572,0.5984,1.0903,1.2653,1.1811,0.1504,Grade A
swarna,whole,4.569,2.004,2.279,7.192,0.7408,0.8349,0.5632,1.1417,1.3178,1.1954,0.1695,Grade B
swarna,whole,3.856,1.944,1.983,5.887,0.6375,0.9213,0.4983,1.1111,1.2219,1.1912,0.1173,Grade A
swarna,broken,4.177,1.93,2.165,6.33,0.6024,0.9727,0.5401,1.023,1.4906,1.2096,0.1455,Grade B
swarna,broken,4.299,2.224,1.932,7.51,0.956,0.9152,0.4852,1.149,1.2237,1.1779,0.1931,Common
swarna,discolored,4.748,2.088,2.274,7.784,0.7632,0.9686,0.5622,1.1173,1.1544,1.1364,0.1326,Common
swarna,broken,4.474,2.324,1.925,8.167,0.7178,0.8532,0.4832,1.1028,1.3288,1.2136,0.1724,Rejected
swarna,discolored,4.475,1.868,2.396,6.565,0.743,0.9304,0.5844,1.0963,1.1779,1.1151,0.1716,Rejected
swarna,whole,4.486,2.336,1.92,8.232,0.7028,0.9215,0.4819,1.1363,1.2387,1.1858,0.1261,Grade A
swarna,whole,4.578,2.104,2.175,7.566,0.8256,0.8753,0.5424,1.0688,1.2448,1.2668,0.1459,Grade B
swarna,damaged,4.593,2.378,1.932,8.579,0.7082,0.9733,0.485,1.049,1.3927,1.3179,0.1291,Rejected
swarna,whole,4.344,2.491,1.744,8.498,0.858,0.8939,0.4299,1.0548,1.2575,1.0993,0.1124,Grade A
swarna,whole,4.488,2.247,1.997,7.92,0.8551,0.8701,0.5018,1.1391,1.2629,1.177,0.1602,Grade A
swarna,chalky,4.558,2.298,1.983,8.229,0.7289,1.0,0.4983,1.0417,1.2375,1.1426,0.1233,Common
swarna,whole,4.997,2.086,2.396,8.186,0.6168,0.9436,0.5843,1.0469,1.3306,1.1922,0.0945,Grade B
swarna,whole,4.286,2.122,2.019,7.144,0.7286,0.9367,0.5072,1.1195,1.4408,1.1694,0.1161,Grade A
swarna,chalky,4.488,2.559,1.754,9.021,0.6482,0.9312,0.4331,1.079,1.3751,1.3316,0.1241,Common
swarna,broken,4.739,2.569,1.844,9.562,0.7584,0.902,0.4607,1.1154,1.3687,1.2292,0.1552,Common
swarna,chalky,4.984,2.33,2.139,9.119,0.6833,0.9273,0.5347,1.1524,1.2146,1.2021,0.1282,Rejected
swarna,broken,4.567,2.209,2.067,7.924,0.564,0.9573,0.5186,1.1187,1.4531,1.1615,0.1466,Common
swarna,whole,4.467,2.256,1.98,7.914,0.7608,0.9293,0.4975,1.0532,1.2955,1.2444,0.1092,Grade B
swarna,whole,4.918,1.895,2.595,7.321,0.6441,0.9389,0.6161,1.1739,1.2747,1.1467,0.1964,Common
swarna,broken,3.993,1.76,2.269,5.521,0.744,0.8949,0.5611,1.0187,1.3367,1.1946,0.1231,Grade B
swarna,damaged,4.728,2.18,2.168,8.095,0.8847,0.8665,0.541,0.9885,1.2246,1.1773,0.1473,Common
swarna,broken,4.062,2.489,1.632,7.94,0.6918,0.9759,0.391,1.1006,1.3165,1.2142,0.1534,Common
swarna,whole,4.569,2.342,1.951,8.403,0.691,0.992,0.49,1.0394,1.4241,1.1776,0.0971,Grade B
swarna,broken,4.794,2.069,2.317,7.792,0.6554,0.8255,0.5702,1.0529,1.0861,1.085,0.1628,Rejected
swarna,whole,4.162,2.19,1.9,7.159,0.6996,0.8621,0.4764,1.1702,1.3502,1.1667,0.1408,Grade A
swarna,whole,4.413,2.064,2.139,7.153,0.5998,0.9059,0.5346,1.1879,1.3313,1.1457,0.1572,Grade A
swarna,whole,4.99,2.385,2.092,9.346,0.706,0.8877,0.5243,1.1219,1.3115,1.2337,0.1591,Grade B
swarna,damaged,4.961,2.24,2.215,8.726,0.9075,0.8855,0.5506,1.1842,1.2958,1.1409,0.1255,Common
swarna,whole,4.683,2.085,2.246,7.67,0.6976,1.0,0.5567,1.1837,1.3149,1.1823,0.1436,Grade B
swarna,foreign,4.41,1.866,2.363,6.464,0.7399,0.9524,0.5786,1.051,1.4059,1.1065,0.0961,Common
swarna,whole,4.579,2.409,1.9,8.664,0.8684,0.8971,0.4765,1.1447,1.2769,1.1696,0.1665,Grade B
swarna,foreign,5.017,2.476,2.026,9.756,0.6374,0.9398,0.5089,1.1096,1.3009,1.147,0.1199,Common
swarna,whole,4.491,2.435,1.845,8.587,0.7544,0.9015,0.4608,1.1263,1.0521,1.2489,0.0878,Grade A
swarna,whole,4.047,2.432,1.664,7.73,0.6532,0.9373,0.4026,1.0772,1.3182,1.1846,0.1015,Grade B
swarna,chalky,3.955,2.114,1.871,6.568,0.8501,0.9625,0.4683,1.0591,1.2521,1.1607,0.2023,Rejected
swarna,whole,4.861,2.248,2.162,8.581,0.6741,0.9102,0.5397,1.0757,1.277,1.2237,0.1416,Grade A
swarna,whole,4.756,2.184,2.178,8.158,0.7079,0.8201,0.543,1.135,1.3077,1.2399,0.0531,Grade B
swarna,broken,4.888,1.992,2.454,7.647,0.7613,0.8673,0.5941,1.0426,1.4331,1.1686,0.1465,Rejected
swarna,whole,4.553,2.273,2.003,8.127,0.9403,0.9171,0.5032,1.0921,1.3641,1.2463,0.1756,Grade B
swarna,whole,5.072,1.971,2.574,7.85,0.7303,0.8823,0.6129,1.0762,1.3063,1.1993,0.1527,Grade B
swarna,chalky,4.415,2.393,1.845,8.296,0.8189,0.8586,0.4609,1.1158,1.3361,1.1621,0.1813,Common
swarna,whole,4.439,2.203,2.015,7.682,0.5904,0.848,0.5062,1.1757,1.2122,1.1205,0.0754,Grade A
swarna,whole,5.075,2.402,2.113,9.573,0.6312,1.0,0.5289,1.1389,1.254,1.03,0.2087,Grade A
swarna,discolored,4.014,1.871,2.145,5.898,0.8023,1.0,0.536,1.1631,1.3251,1.2157,0.1656,Common
swarna,whole,4.766,2.256,2.112,8.445,0.7104,0.9169,0.5288,1.0348,1.2575,1.0784,0.137,Grade A
swarna,whole,4.563,2.478,1.841,8.882,0.7918,0.8415,0.4598,1.0206,1.3553,1.1211,0.1333,Grade B
swarna,chalky,4.537,1.933,2.347,6.888,0.6399,0.936,0.5757,0.9844,1.3152,1.1788,0.1566,Rejected
swarna,whole,4.544,2.114,2.149,7.545,0.7122,0.9472,0.5369,1.0829,1.2832,1.1379,0.1201,Grade A
swarna,whole,4.065,2.061,1.972,6.581,0.6282,0.9647,0.4954,1.0623,1.3798,1.1396,0.1484,Grade A
swarna,whole,4.084,2.262,1.806,7.256,0.7634,0.9407,0.4492,1.0689,1.2696,1.1826,0.1356,Grade A
swarna,broken,4.305,1.926,2.235,6.512,0.6912,1.0,0.5546,1.0318,1.4111,1.2807,0.1234,Rejected
swarna,whole,4.699,2.526,1.861,9.322,0.6621,0.9098,0.4654,1.0451,1.1988,1.141,0.1033,Grade A
1010,foreign,5.894,1.72,3.427,7.961,0.7331,0.9617,0.709,1.0004,1.3499,1.2737,0.1237,Rejected
1010,whole,6.469,2.075,3.117,10.545,0.6295,0.9172,0.6802,1.1535,1.3261,1.2323,0.1324,Grade A
1010,foreign,5.756,1.837,3.133,8.305,0.6264,0.9818,0.6818,1.1855,1.3687,1.1345,0.1505,Rejected
1010,chalky,6.285,2.026,3.103,9.999,0.9319,0.9397,0.6788,1.1315,1.2953,1.208,0.1554,Rejected
1010,discolored,5.486,1.76,3.116,7.584,0.5164,0.9454,0.6801,1.0538,1.1478,1.2233,0.2348,Rejected
1010,whole,5.833,1.982,2.943,9.08,0.7919,0.9055,0.6613,1.136,1.3457,1.1599,0.1898,Grade A
1010,whole,6.015,1.838,3.272,8.684,0.7028,0.9195,0.6953,1.1852,1.358,1.1985,0.1845,Grade B
1010,foreign,5.804,1.764,3.291,8.041,0.5935,0.9047,0.697,1.0834,1.305,1.2034,0.1759,Rejected
1010,whole,5.826,1.644,3.543,7.524,0.6061,0.9128,0.7185,1.0474,1.368,1.2918,0.1966,Grade A
1010,whole,5.715,2.268,2.519,10.181,0.7149,0.9031,0.6046,1.0832,1.2958,1.1767,0.1651,Common
1010,whole,5.975,2.214,2.698,10.391,0.795,0.8458,0.6308,0.9668,1.3947,1.118,0.1533,Grade A
1010,whole,6.017,2.137,2.816,10.097,0.6423,0.7904,0.6461,1.0872,1.3513,1.1113,0.1655,Grade A
1010,whole,5.794,2.104,2.753,9.575,0.712,0.8713,0.6381,1.1918,1.3073,1.1984,0.132,Grade A
1010,broken,5.731,2.308,2.483,10.389,0.5628,0.8393,0.5989,1.2083,1.3033,1.1599,0.1912,Common
1010,whole,6.071,1.912,3.175,9.118,0.9157,0.8897,0.686,1.1645,1.3439,1.2781,0.2068,Grade A
1010,whole,5.984,1.878,3.186,8.826,0.9013,0.9268,0.6871,1.0981,1.3348,1.1192,0.1309,Grade B
1010,whole,5.381,2.097,2.567,8.861,0.8186,0.9559,0.6119,1.1798,1.2595,1.1147,0.205,Grade A
1010,whole,6.331,2.1,3.015,10.443,0.7456,1.0,0.6694,1.0814,1.3942,1.2034,0.1681,Grade B
1010,discolored,6.015,2.193,2.743,10.361,0.6635,0.878,0.6367,1.0573,1.1627,1.3234,0.1269,Common
1010,broken,5.711,1.95,2.929,8.748,0.7307,0.9608,0.6597,1.1716,1.2734,1.19,0.1685,Common
1010,chalky,5.996,2.132,2.812,10.042,0.7663,0.9787,0.6457,1.1309,1.2163,1.224,0.1405,Common
1010,broken,6.295,2.004,3.142,9.908,0.7309,1.0,0.6827,1.1344,1.5281,1.2339,0.1072,Rejected
1010,whole,6.316,2.121,2.978,10.522,0.6862,0.8588,0.6653,1.1075,1.252,1.1652,0.1777,Grade B
1010,discolored,5.322,2.08,2.558,8.694,0.8197,0.8895,0.6107,1.112,1.3212,1.1529,0.1794,Common
1010,whole,5.445,1.921,2.834,8.216,0.7722,0.9014,0.6484,1.2236,1.288,1.2135,0.188,Grade A
1010,whole,5.19,2.227,2.33,9.078,0.6448,1.0,0.5727,1.0861,1.3348,1.2925,0.2202,Grade B
1010,chalky,6.21,2.107,2.948,10.274,0.7778,0.8924,0.6619,1.0709,1.3197,1.1898,0.1464,Rejected
1010,whole,5.835,2.266,2.575,10.385,0.5858,0.9103,0.6132,1.077,1.1707,1.195,0.1563,Grade B
1010,whole,5.39,2.334,2.31,9.88,0.8221,0.9491,0.5689,1.1064,1.2432,1.1777,0.1927,Grade B
1010,damaged,5.604,1.798,3.116,7.916,0.7141,0.8316,0.6801,1.1394,1.3082,1.172,0.1122,Rejected
1010,broken,6.005,1.904,3.154,8.981,0.583,0.7764,0.6839,1.1183,1.4618,1.2997,0.1463,Grade B
1010,damaged,5.401,2.054,2.629,8.714,0.7766,0.9813,0.6211,1.114,1.3037,1.1473,0.1352,Common
1010,whole,6.165,1.855,3.323,8.985,0.8493,0.9064,0.7,1.1187,1.2602,1.0545,0.1865,Common
1010,whole,5.827,2.093,2.784,9.578,0.5437,0.8935,0.6421,1.1677,1.2197,1.2176,0.1193,Common
1010,damaged,5.154,2.21,2.332,8.944,0.6265,0.8795,0.5731,1.132,1.4119,1.1391,0.1619,Rejected
1010,whole,5.871,1.934,3.036,8.917,0.6172,0.9243,0.6717,1.0557,1.0863,1.2262,0.1871,Grade A
1010,whole,6.048,2.37,2.551,11.259,0.7021,0.8836,0.6096,1.109,1.43,1.1612,0.136,Grade A
1010,whole,5.849,2.292,2.551,10.531,0.7323,0.9074,0.6096,1.1025,1.1949,1.253,0.1577,Grade A
1010,whole,5.92,1.865,3.175,8.669,0.6574,0.9774,0.686,1.1268,1.2049,1.2552,0.14,Grade B
1010,damaged,5.621,2.231,2.52,9.848,0.7068,0.9626,0.6047,1.1491,1.2523,1.1614,0.1909,Rejected
1010,foreign,5.666,1.927,2.94,8.577,0.6045,0.9412,0.661,1.2438,1.2346,1.2015,0.2024,Rejected
1010,whole,5.375,2.077,2.588,8.769,0.6813,0.9693,0.6151,1.1912,1.5272,1.2348,0.1698,Grade B
1010,whole,5.935,1.947,3.049,9.075,0.7168,0.9859,0.6731,1.0596,1.4112,1.279,0.1565,Grade A
1010,whole,6.319,1.996,3.166,9.905,0.6001,0.8948,0.6851,1.1704,1.3637,1.1857,0.149,Grade A
1010,whole,6.446,1.942,3.319,9.832,0.8217,0.9961,0.6996,1.1799,1.2855,1.2242,0.1593,Grade A
1010,whole,5.328,2.214,2.407,9.264,0.6535,0.9301,0.5862,1.137,1.2993,1.2352,0.1458,Grade B
1010,chalky,5.851,2.349,2.491,10.794,0.6,0.8861,0.6001,1.1508,1.3344,1.221,0.1747,Rejected
1010,whole,5.964,1.957,3.048,9.165,0.7673,1.0,0.673,1.112,1.242,1.2664,0.1564,Grade A
1010,broken,5.586,1.984,2.816,8.703,0.7332,0.9295,0.6461,1.1626,1.2852,1.2308,0.1522,Rejected
1010,whole,5.426,2.195,2.471,9.356,0.6464,0.9604,0.597,1.142,1.4671,1.1866,0.1495,Grade A
1010,chalky,6.12,1.709,3.581,8.215,0.5946,0.8666,0.7215,1.177,1.4568,1.1937,0.1549,Common
1010,whole,5.828,2.209,2.638,10.112,0.6073,0.9319,0.6224,1.1785,1.3601,1.2114,0.19,Grade A
1010,whole,5.538,1.67,3.315,7.266,0.7511,0.9887,0.6993,1.1118,1.3962,1.2967,0.1994,Grade B
1010,broken,5.83,1.712,3.406,7.838,0.6754,0.8778,0.7073,1.2503,1.3059,1.2074,0.1765,Common
1010,foreign,5.551,2.035,2.728,8.872,0.6258,0.854,0.6347,1.0833,1.317,1.1742,0.1392,Common
1010,chalky,5.237,1.985,2.638,8.165,0.5495,0.958,0.6224,1.1249,1.2034,1.1814,0.1374,Rejected
1010,whole,5.05,2.021,2.499,8.015,0.684,0.9536,0.6014,1.1328,1.2598,1.1809,0.1361,Common
1010,whole,6.56,1.989,3.298,10.249,0.6292,0.8443,0.6977,1.0118,1.1933,1.216,0.1753,Grade A
1010,whole,5.607,2.026,2.767,8.923,0.8612,0.9648,0.6399,1.1039,1.2487,1.0709,0.1384,Grade A
1010,whole,5.747,2.014,2.854,9.091,0.6775,0.8875,0.6508,1.1301,1.3554,1.1346,0.2023,Grade A
1010,whole,6.083,2.042,2.979,9.756,0.7953,0.9344,0.6655,1.0833,1.3489,1.1314,0.1633,Grade A
1010,broken,5.749,1.661,3.46,7.501,0.6451,0.9246,0.7118,1.1296,1.2378,1.2759,0.134,Rejected
1010,chalky,5.542,2.32,2.389,10.095,0.5806,0.966,0.5832,1.18,1.2664,1.2835,0.1525,Rejected
1010,whole,5.746,2.146,2.678,9.685,0.7793,0.8326,0.6279,1.1983,1.187,1.262,0.1938,Grade A
1010,whole,5.358,1.961,2.732,8.253,0.6692,0.959,0.6353,1.1986,1.4317,1.1663,0.1537,Grade A
1010,whole,6.186,2.291,2.7,11.13,0.5766,0.8904,0.631,1.1184,1.3424,1.1514,0.1727,Grade A
1010,whole,6.019,2.001,3.008,9.459,0.6564,0.9145,0.6686,1.1147,1.2904,1.1845,0.208,Common
1010,whole,6.079,1.94,3.134,9.262,0.8173,0.9385,0.6819,1.1136,1.3558,1.1057,0.1262,Grade A
1010,whole,6.493,2.402,2.704,12.247,0.7638,0.945,0.6315,1.0119,1.2766,1.1527,0.1414,Grade A
1010,foreign,5.008,2.135,2.346,8.397,0.5927,0.932,0.5756,1.2444,1.2464,1.0482,0.1514,Rejected
1010,whole,6.24,2.353,2.653,11.53,0.577,0.9448,0.6244,1.0921,1.3115,1.3587,0.1149,Common
1010,whole,5.901,2.084,2.832,9.66,0.8086,0.9249,0.6481,1.1385,1.2887,1.2161,0.1497,Common
1010,broken,5.951,1.995,2.983,9.323,0.8126,0.9174,0.6659,1.0136,1.421,1.1457,0.1404,Common
1010,whole,4.946,2.565,1.928,9.963,0.8056,0.9312,0.4841,1.1167,1.3428,1.2313,0.1794,Common
1010,whole,5.721,1.973,2.9,8.864,0.6805,0.9767,0.6564,1.1556,1.0848,1.2394,0.1658,Grade A
1010,whole,6.25,2.171,2.879,10.654,0.6227,0.9404,0.6539,1.0617,1.2096,1.1624,0.1859,Common
1010,broken,6.181,2.092,2.954,10.158,0.7725,0.9458,0.6626,1.0815,1.3546,1.248,0.1826,Common
1010,whole,5.941,2.193,2.709,10.23,0.6973,0.8759,0.6323,1.1102,1.2604,1.1595,0.1557,Grade A
1010,whole,5.043,2.038,2.474,8.073,0.7001,0.8791,0.5974,1.1596,1.395,1.1035,0.1371,Grade A
1010,whole,6.132,1.965,3.12,9.464,0.6735,0.8198,0.6805,1.1581,1.2209,1.2036,0.1683,Grade B
1010,chalky,4.592,2.033,2.259,7.333,0.8801,0.9819,0.5592,1.1326,1.2807,1.2484,0.1308,Rejected
1010,whole,6.224,2.497,2.493,12.205,0.7392,0.8946,0.6005,1.1185,1.1785,1.1583,0.1477,Grade A
1010,whole,5.471,2.202,2.485,9.461,0.7,0.9195,0.5992,1.1003,1.3324,1.2495,0.134,Grade A
1010,whole,5.262,1.853,2.84,7.656,0.6524,0.9637,0.6492,1.1358,1.3355,1.2511,0.1559,Common
1010,foreign,5.906,1.895,3.117,8.791,0.4561,0.9133,0.6802,1.2054,1.3941,1.2579,0.1971,Rejected
1010,discolored,5.835,2.036,2.867,9.329,0.6382,0.9042,0.6524,1.1569,1.4163,1.1916,0.1465,Rejected
1010,chalky,5.222,1.587,3.291,6.508,0.6449,0.859,0.6971,1.0895,1.3082,1.1728,0.2036,Rejected
1010,whole,6.049,1.795,3.37,8.528,0.8039,0.9162,0.7041,1.1602,1.2343,1.1068,0.1845,Grade B
1010,whole,5.452,2.203,2.475,9.432,0.5811,1.0,0.5976,1.066,1.3711,1.1803,0.1781,Grade A
1010,whole,5.816,1.82,3.196,8.312,0.7741,0.8943,0.6881,1.1063,1.2405,1.0463,0.1543,Grade B
1010,whole,5.792,1.953,2.966,8.883,0.7022,0.9474,0.664,1.0492,1.4091,1.2429,0.1815,Common
1010,whole,6.069,2.107,2.881,10.041,0.6646,0.8913,0.6541,1.1261,1.4439,1.1257,0.116,Grade A
1010,whole,5.866,2.009,2.92,9.256,0.7173,0.9322,0.6587,1.1066,1.4392,1.1039,0.1351,Grade A
1010,whole,5.759,1.704,3.379,7.708,0.6824,1.0,0.7049,1.1213,1.3385,1.1244,0.1415,Grade A
